Symbol,Prev Close,Day Range,Year Range,Market Cap,Avg Volume,Div Yield,P/E Ratio
AAPL,237.88,240.2106 - 246.3,169.21 - 260.1,3643315585024,56212347,42.00%,37.31003
GOOGL,252.03,251.81 - 256.0,140.53 - 256.0,3083407196160,38732838,33.00%,27.184631
MSFT,508.45,510.32 - 519.3,344.79 - 555.45,3849859891200,20669157,70.00%,38.027164
AMZN,231.23,230.54 - 234.16,161.38 - 242.52,2468713857024,42567655,N/A,35.340458
TSLA,416.85,421.72 - 429.47,212.11 - 488.54,1416747155456,91738652,N/A,256.66867
NVDA,176.24,175.18 - 178.08,86.62 - 184.48,4301384581120,174391809,2.00%,50.190342
JPM,313.23,309.14 - 315.79,202.16 - 315.8,865567506432,8533119,191.00%,16.159138
V,338.18,338.25 - 342.69,268.23 - 375.51,663045144576,6088926,69.00%,33.327805
JNJ,174.16,173.33 - 177.15,140.68 - 181.16,424325251072,8478779,295.00%,18.864025
WMT,103.6,102.09 - 103.84,78.98 - 106.11,815861858304,16593090,92.00%,38.615093
